Test Method=tm1(), Test Class=CTest [JUNIT3], References={CTest.c:C, var3:boolean, var1:boolean, var1:boolean, CTest.c:C, var1:boolean, var3:boolean, var1:boolean, var3:boolean, CTest.c:C, }, Invocations={C.C():void, CTest.thm3(java.lang.String, boolean):void, CTest.thm3(java.lang.String, boolean):void, C.m1(java.lang.String):boolean, C.m2(java.lang.String, java.lang.String):UNKNOWNP.UNKNOWN, CTest.thm2(java.lang.String):void, CTest.thm1(java.lang.String):void, CTest.thm1(java.lang.String):void, CTest.thm2(java.lang.String):void, }, Assertions={fail, }
id=3623 rank=1 score=2.860 fqn=org.exist.xmldb.test.DTMHandleTest heuristics={A:1.000, R:1.000, K:0.860}
id=3839 rank=1 score=2.860 fqn=org.exist.xmldb.DTMHandleTest heuristics={A:1.000, R:1.000, K:0.860}
id=13586 rank=3 score=2.612 fqn=de.schlund.pfixxml.util.XmlTest heuristics={A:1.000, R:1.000, K:0.612}
id=3815 rank=4 score=2.576 fqn=org.exist.xmldb.IndexingTest heuristics={A:1.000, R:1.000, K:0.576}
id=3575 rank=4 score=2.576 fqn=org.exist.xmldb.test.IndexingTest heuristics={A:1.000, R:1.000, K:0.576}
id=3831 rank=6 score=2.525 fqn=org.exist.xmldb.DOMTestJUnit heuristics={A:1.000, R:1.000, K:0.525}
id=3609 rank=6 score=2.525 fqn=org.exist.xmldb.test.DOMTestJUnit heuristics={A:1.000, R:1.000, K:0.525}
id=5082 rank=8 score=2.515 fqn=test.org.softnetwork.xml.sax.helpers.TestSaxReader heuristics={A:1.000, R:1.000, K:0.515}
id=19478 rank=9 score=2.470 fqn=fll.web.FullTournamentTest heuristics={A:1.000, R:1.000, K:0.470}
id=5564 rank=10 score=2.443 fqn=org.joda.time.TestDateTimeComparator heuristics={A:1.000, R:1.000, K:0.443}
id=12636 rank=11 score=2.325 fqn=org.dhmp.util.BasicHierarchicalMapTest heuristics={A:1.000, R:1.000, K:0.325}
id=12229 rank=12 score=2.301 fqn=Run_Time.TypeCheckTest heuristics={A:1.000, R:1.000, K:0.301}
id=6987 rank=13 score=2.299 fqn=datadog.sessions.JdbcTransactionTest heuristics={A:1.000, R:1.000, K:0.299}
id=14107 rank=14 score=2.290 fqn=org.openjf.BoardContainerTest heuristics={A:1.000, R:1.000, K:0.290}
id=5491 rank=15 score=2.279 fqn=org.joda.time.convert.TestConverterManager heuristics={A:1.000, R:1.000, K:0.279}
id=3582 rank=16 score=2.265 fqn=org.exist.xmldb.test.RemoteQueryTest heuristics={A:1.000, R:1.000, K:0.265}
id=3820 rank=16 score=2.265 fqn=org.exist.xmldb.RemoteQueryTest heuristics={A:1.000, R:1.000, K:0.265}
id=18623 rank=18 score=2.208 fqn=org.lockss.exporter.biblio.TestBibliographicOrderScorer heuristics={A:1.000, R:1.000, K:0.208}
id=8618 rank=19 score=2.196 fqn=quickfix.SessionScheduleTest heuristics={A:1.000, R:1.000, K:0.196}
id=4442 rank=20 score=2.188 fqn=tests.org.ntropa.build.html.MarkedUpHtmlParserTest heuristics={A:1.000, R:1.000, K:0.188}
id=15030 rank=21 score=2.185 fqn=org.jaxlib.junit.XTestCase heuristics={A:1.000, R:1.000, K:0.185}
id=8456 rank=22 score=2.184 fqn=quickfix.MessageTest heuristics={A:1.000, R:1.000, K:0.184}
id=14724 rank=23 score=2.000 fqn=com.zimbra.qa.unittest.TestTags heuristics={A:1.000, R:1.000}
id=3557 rank=23 score=2.000 fqn=org.exist.xmldb.test.StorageStressTest heuristics={A:1.000, R:1.000}
id=1819 rank=23 score=2.000 fqn=org.mbari.vars.annotation.ui.actions.DeleteObservationActionTest heuristics={A:1.000, R:1.000}
id=3665 rank=23 score=2.000 fqn=org.exist.storage.test.DOMFileRecoverTest heuristics={A:1.000, R:1.000}
id=3907 rank=23 score=2.000 fqn=org.exist.storage.RecoveryTest3 heuristics={A:1.000, R:1.000}
id=3826 rank=23 score=2.000 fqn=org.exist.xmldb.CollectionConfigurationTest heuristics={A:1.000, R:1.000}
id=5256 rank=23 score=2.000 fqn=koala.dynamicjava.parser.ParserTest heuristics={A:1.000, R:1.000}
id=7035 rank=23 score=2.000 fqn=net.sf.ngrease.ffp.NgreaseAcceptanceTest heuristics={A:1.000, R:1.000}
id=3889 rank=23 score=2.000 fqn=org.exist.storage.MoveResourceTest heuristics={A:1.000, R:1.000}
id=9959 rank=23 score=2.000 fqn=net.whippetcode.client.common.util.ReflectionManagerTest heuristics={A:1.000, R:1.000}
id=11265 rank=23 score=2.000 fqn=net.sourceforge.cruisecontrol.publishers.SametimeAnnouncementPublisherTest heuristics={A:1.000, R:1.000}
id=12633 rank=23 score=2.000 fqn=org.dhmp.util.xml.SchemaTest heuristics={A:1.000, R:1.000}
id=13982 rank=23 score=2.000 fqn=net.sf.jameleon.data.SqlDataDriverTest heuristics={A:1.000, R:1.000}
id=17870 rank=23 score=2.000 fqn=org.mifos.framework.struts.tags.MifosSelectTest heuristics={A:1.000, R:1.000}
id=3807 rank=23 score=2.000 fqn=org.exist.xmldb.StorageStressTest heuristics={A:1.000, R:1.000}
id=13558 rank=23 score=2.000 fqn=openwfe.org.ws.invoker._test.WsInvokerTest heuristics={A:1.000, R:1.000}
id=3864 rank=23 score=2.000 fqn=org.exist.storage.RecoveryTest heuristics={A:1.000, R:1.000}
id=3713 rank=23 score=2.000 fqn=org.exist.storage.test.BFileOverflowTest heuristics={A:1.000, R:1.000}
id=5547 rank=23 score=2.000 fqn=org.joda.time.format.TestISODateTimeFormatParsing heuristics={A:1.000, R:1.000}
id=13036 rank=23 score=2.000 fqn=org.jnode.test.ResourceTest heuristics={A:1.000, R:1.000}
id=13164 rank=23 score=2.000 fqn=org.rifidi.utilities.device.DeviceAddressManagerTest heuristics={A:1.000, R:1.000}
id=16682 rank=23 score=2.000 fqn=org.mifos.accounts.productdefinition.business.LoanOfferingBOIntegrationTest heuristics={A:1.000, R:1.000}
id=3688 rank=23 score=2.000 fqn=org.exist.storage.test.MoveCollectionTest heuristics={A:1.000, R:1.000}
id=3928 rank=23 score=2.000 fqn=org.exist.http.RESTServiceTest heuristics={A:1.000, R:1.000}
id=12890 rank=23 score=2.000 fqn=it.imolinfo.test.client.TestRuleNotContainsFail heuristics={A:1.000, R:1.000}
id=9753 rank=23 score=2.000 fqn=org.apache.tools.ant.taskdefs.TaskdefsTest heuristics={A:1.000, R:1.000}
id=13740 rank=23 score=2.000 fqn=net.sf.jameleon.plugin.selenium.SeleniumSessionTagTest heuristics={A:1.000, R:1.000}
id=15325 rank=23 score=2.000 fqn=backend.core.test.AbstractOndexGraphMetaDataCreationTest heuristics={A:1.000, R:1.000}
id=3628 rank=23 score=2.000 fqn=org.exist.xmldb.test.concurrent.ConcurrentTestBase heuristics={A:1.000, R:1.000}
id=3899 rank=23 score=2.000 fqn=org.exist.storage.io.VariableByteStreamTest heuristics={A:1.000, R:1.000}
id=6537 rank=23 score=2.000 fqn=com.amazon.carbonado.TestQueryLogic heuristics={A:1.000, R:1.000}
id=10022 rank=23 score=2.000 fqn=com.philemonworks.selfdiagnose.SelfTest heuristics={A:1.000, R:1.000}
id=11300 rank=23 score=2.000 fqn=net.sourceforge.cruisecontrol.publishers.sfee.SfeeTrackerPublisherTest heuristics={A:1.000, R:1.000}
id=9618 rank=23 score=2.000 fqn=org.acegisecurity.annotation.SecurityAnnotationAttributesTests heuristics={A:1.000, R:1.000}
id=11144 rank=23 score=2.000 fqn=net.sourceforge.cruisecontrol.builders.ExecBuilderTest heuristics={A:1.000, R:1.000}
id=17301 rank=23 score=2.000 fqn=org.lockss.util.TestIpFilter heuristics={A:1.000, R:1.000}
id=7745 rank=23 score=2.000 fqn=com.kneobase.driver.cvsdriver.CVSRobotTest heuristics={A:1.000, R:1.000}
id=8978 rank=23 score=2.000 fqn=org.acegisecurity.captcha.CaptchaValidationProcessingFilterTests heuristics={A:1.000, R:1.000}
id=3877 rank=23 score=2.000 fqn=org.exist.storage.RecoverBinaryTest2 heuristics={A:1.000, R:1.000}
id=11240 rank=23 score=2.000 fqn=net.sourceforge.cruisecontrol.sourcecontrols.AccurevTest heuristics={A:1.000, R:1.000}
id=13930 rank=23 score=2.000 fqn=net.sf.jameleon.function.FunctionTagTest heuristics={A:1.000, R:1.000}
id=9084 rank=23 score=2.000 fqn=org.acegisecurity.providers.jaas.JaasAuthenticationProviderTests heuristics={A:1.000, R:1.000}
id=11066 rank=23 score=2.000 fqn=net.sourceforge.cruisecontrol.BuildStatusTest heuristics={A:1.000, R:1.000}
id=14872 rank=23 score=2.000 fqn=org.springframework.richclient.security.SecurityAwareConfigurerTests heuristics={A:1.000, R:1.000}
id=969 rank=23 score=2.000 fqn=net.sf.sapjcosupport.ReflectionFieldIteratorTestCase heuristics={A:1.000, R:1.000}
id=3564 rank=23 score=2.000 fqn=org.exist.xmldb.test.TreeLevelOrderTest heuristics={A:1.000, K:1.000}
id=2258 rank=23 score=2.000 fqn=test.domain.TestDomainCheck heuristics={A:1.000, R:1.000}
id=3845 rank=23 score=2.000 fqn=org.exist.xmldb.concurrent.ConcurrentTestBase heuristics={A:1.000, R:1.000}
id=11199 rank=23 score=2.000 fqn=net.sourceforge.cruisecontrol.sourcecontrols.P4Test heuristics={A:1.000, R:1.000}
id=13771 rank=23 score=2.000 fqn=net.sf.jameleon.plugin.httpunit.HtmlPageValidationTest heuristics={A:1.000, R:1.000}
id=19231 rank=23 score=2.000 fqn=com.technoetic.xplanner.forms.AbstractEditorFormTestCase heuristics={A:1.000, R:1.000}
id=3700 rank=23 score=2.000 fqn=org.exist.storage.test.BFileRecoverTest heuristics={A:1.000, R:1.000}
id=5108 rank=23 score=2.000 fqn=org.jivesoftware.smack.test.SmackTestCase heuristics={A:1.000, R:1.000}
id=8889 rank=23 score=2.000 fqn=org.nxplanner.security.auth.TestAuthorizerImpl heuristics={A:1.000, R:1.000}
id=3784 rank=23 score=2.000 fqn=org.exist.xquery.JavaFunctionsTest heuristics={A:1.000, R:1.000}
id=1537 rank=23 score=2.000 fqn=org.apache.commons.collections15.comparators.TestFixedOrderComparator heuristics={A:1.000, R:1.000}
id=3677 rank=23 score=2.000 fqn=org.exist.storage.test.RecoverBinaryTest2 heuristics={A:1.000, R:1.000}
id=6634 rank=23 score=2.000 fqn=com.amazon.carbonado.repo.replicated.TestRepair heuristics={A:1.000, R:1.000}
id=12886 rank=23 score=2.000 fqn=it.imolinfo.test.client.TestRuleContainsFail heuristics={A:1.000, R:1.000}
id=720 rank=23 score=2.000 fqn=org.concern.form.DataTest heuristics={A:1.000, R:1.000}
id=4537 rank=23 score=2.000 fqn=tests.org.ntropa.runtime.sao.PlaceholderFunctionalTest heuristics={A:1.000, R:1.000}
id=13645 rank=23 score=2.000 fqn=ie.omk.smpp.message.SizeTest heuristics={A:1.000, R:1.000}
id=15168 rank=23 score=2.000 fqn=jaxlib.arc.bzip2.BZip2Test heuristics={A:1.000, R:1.000}
id=3128 rank=23 score=2.000 fqn=net.objectlab.kit.datecalc.common.TenorTest heuristics={A:1.000, R:1.000}
id=3891 rank=23 score=2.000 fqn=org.exist.storage.CopyCollectionTest heuristics={A:1.000, R:1.000}
id=6427 rank=23 score=2.000 fqn=com.amazon.carbonado.spi.TestLobEngine heuristics={A:1.000, R:1.000}
id=13985 rank=23 score=2.000 fqn=net.sf.jameleon.data.CollectionDataDriverTest heuristics={A:1.000, R:1.000}
id=3809 rank=23 score=2.000 fqn=org.exist.xmldb.TreeLevelOrderTest heuristics={A:1.000, K:1.000}
id=5476 rank=23 score=2.000 fqn=org.joda.time.chrono.TestIslamicChronology heuristics={A:1.000, R:1.000}
id=11511 rank=23 score=2.000 fqn=net.sourceforge.cruisecontrol.distributed.BuildAgentTest heuristics={A:1.000, R:1.000}
id=1087 rank=23 score=2.000 fqn=org.smartfrog.services.deployapi.test.system.alpine.AlpineTestBase heuristics={A:1.000, R:1.000}
id=2322 rank=23 score=2.000 fqn=org.apache.commons.cli.GnuParseTest heuristics={A:1.000, R:1.000}
id=3868 rank=23 score=2.000 fqn=org.exist.storage.ConcurrentStoreTest heuristics={A:1.000, R:1.000}
id=6175 rank=23 score=2.000 fqn=com.brimarx.icap10.server.impl.servit.IcapContextualHandlerTest heuristics={A:1.000, R:1.000}
id=14818 rank=23 score=2.000 fqn=org.springframework.richclient.command.config.CommandFaceDescriptorTests heuristics={A:1.000, R:1.000}
id=1715 rank=23 score=2.000 fqn=test.org.mbari.vars.annotation.tools.UpdateStillImageUrlToolTest heuristics={A:1.000, R:1.000}
id=3715 rank=23 score=2.000 fqn=org.exist.storage.test.RecoveryTest3 heuristics={A:1.000, R:1.000}
id=8941 rank=23 score=2.000 fqn=org.acegisecurity.context.SecurityContextHolderTests heuristics={A:1.000, R:1.000}
id=13165 rank=23 score=2.000 fqn=org.rifidi.emulator.xml.CommandObjectHashTest heuristics={A:1.000, R:1.000}
id=3690 rank=23 score=2.000 fqn=org.exist.storage.test.RemoveCollectionTest heuristics={A:1.000, R:1.000}
id=9795 rank=23 score=2.000 fqn=com.fishfarm.bookreader.book.BookTest heuristics={A:1.000, R:1.000}
id=13749 rank=23 score=2.000 fqn=net.sf.jameleon.plugin.httpunit.HtmlPageClickLinkTest heuristics={A:1.000, R:1.000}
id=1814 rank=23 score=2.000 fqn=org.mbari.vars.knowledgebase.model.dao.ConceptNameCrudTest1 heuristics={A:1.000, R:1.000}
id=3900 rank=23 score=2.000 fqn=org.exist.storage.CollectionTest heuristics={A:1.000, R:1.000}
id=6542 rank=23 score=2.000 fqn=com.amazon.carbonado.TestStorables heuristics={A:1.000, R:1.000}
id=264 rank=23 score=2.000 fqn=org.jrdf.graph.AbstractURIReferenceUnitTest heuristics={A:1.000, R:1.000}
id=3496 rank=23 score=2.000 fqn=org.exist.xquery.test.JavaFunctionsTest heuristics={A:1.000, R:1.000}
id=2029 rank=23 score=2.000 fqn=com.klaiber.xorio.structuredcontent.TestStructureDefinitionFactory heuristics={A:1.000, R:1.000}
id=5482 rank=23 score=2.000 fqn=org.joda.time.chrono.gj.MainTest heuristics={A:1.000, R:1.000}
id=11145 rank=23 score=2.000 fqn=net.sourceforge.cruisecontrol.builders.MavenBuilderTest heuristics={A:1.000, R:1.000}
id=1760 rank=23 score=2.000 fqn=test.org.mbari.vars.annotation.model.dao.CrudTest2 heuristics={A:1.000, R:1.000}
id=3739 rank=23 score=2.000 fqn=org.exist.http.test.RESTServiceTest heuristics={A:1.000, R:1.000}
id=3879 rank=23 score=2.000 fqn=org.exist.storage.RecoverBinaryTest heuristics={A:1.000, R:1.000}
id=4743 rank=23 score=2.000 fqn=org.apache.tools.ant.BuildFileTest heuristics={A:1.000, R:1.000}
id=13937 rank=23 score=2.000 fqn=net.sf.jameleon.ant.JameleonXDocletTest heuristics={A:1.000, R:1.000}
id=3418 rank=23 score=2.000 fqn=org.exist.xquery.test.LexerTest heuristics={A:1.000, R:1.000}
id=3794 rank=23 score=2.000 fqn=org.exist.xquery.DeepEqualTest heuristics={A:1.000, R:1.000}
id=4436 rank=23 score=2.000 fqn=tests.org.ntropa.build.jsp.JSPBuilderTest heuristics={A:1.000, R:1.000}
id=3854 rank=23 score=2.000 fqn=org.exist.storage.UpdateRecoverTest heuristics={A:1.000, R:1.000}
id=9862 rank=23 score=2.000 fqn=test.net.sf.platypuswiki.content.persistance.AbstractContentPersistanceManagerTest heuristics={A:1.000, R:1.000}
id=13784 rank=23 score=2.000 fqn=net.sf.jameleon.plugin.jiffie.util.IHTMLElementFinderTest heuristics={A:1.000, R:1.000}
id=19293 rank=23 score=2.000 fqn=com.technoetic.xplanner.importer.spreadsheet.TestSpreadsheetStoryFilter heuristics={A:1.000, R:1.000}
id=3702 rank=23 score=2.000 fqn=org.exist.storage.test.CollectionTest heuristics={A:1.000, R:1.000}
id=12913 rank=23 score=2.000 fqn=net.sourceforge.jwebunit.tests.util.reflect.MethodInvokerTest heuristics={A:1.000, R:1.000}
id=3917 rank=23 score=2.000 fqn=org.exist.xmlrpc.MoveResourceTest heuristics={A:1.000, R:1.000}
id=11347 rank=23 score=2.000 fqn=net.sourceforge.cruisecontrol.publishers.SCPPublisherTest heuristics={A:1.000, R:1.000}
id=18261 rank=23 score=2.000 fqn=org.mifos.platform.questionnaire.validators.QuestionnaireValidatorForDtoTest heuristics={A:1.000, R:1.000}
id=2354 rank=23 score=2.000 fqn=org.python.util.install.driver.AutotestTest heuristics={A:1.000, R:1.000}
id=3893 rank=23 score=2.000 fqn=org.exist.storage.ResourceTest heuristics={A:1.000, R:1.000}
id=11279 rank=23 score=2.000 fqn=net.sourceforge.cruisecontrol.publishers.EmailPublisherTest heuristics={A:1.000, R:1.000}
id=11517 rank=23 score=2.000 fqn=net.sourceforge.cruisecontrol.distributed.BuildAgentServiceImplTest heuristics={A:1.000, R:1.000}
id=3588 rank=23 score=2.000 fqn=org.exist.xmldb.test.CollectionConfigurationTest heuristics={A:1.000, R:1.000}
id=2324 rank=23 score=2.000 fqn=org.apache.commons.cli.ParseTest heuristics={A:1.000, R:1.000}
id=3872 rank=23 score=2.000 fqn=org.exist.storage.AbstractUpdateTest heuristics={A:1.000, R:1.000}
id=6219 rank=23 score=2.000 fqn=net.sf.ehcache.constructs.web.AbstractWebTest heuristics={A:1.000, R:1.000}
id=3717 rank=23 score=2.000 fqn=org.exist.storage.io.test.VariableByteStreamTest heuristics={A:1.000, R:1.000}
id=3694 rank=23 score=2.000 fqn=org.exist.storage.test.MoveResourceTest heuristics={A:1.000, R:1.000}
id=943 rank=23 score=2.000 fqn=net.sf.k2devel.k2asm.StdTreeBuilderTest heuristics={A:1.000, R:1.000}
id=18659 rank=23 score=2.000 fqn=org.lockss.util.TestBinarySemaphore heuristics={A:1.000, R:1.000}
id=4394 rank=23 score=2.000 fqn=tests.org.ntropa.build.mapper.MapperTest heuristics={A:1.000, R:1.000}
id=1370 rank=23 score=2.000 fqn=jat.spacetime.unittest.LunaFixedRefTest heuristics={A:1.000, R:1.000}
id=3655 rank=23 score=2.000 fqn=org.exist.storage.test.ConcurrentStoreTest heuristics={A:1.000, R:1.000}
id=3903 rank=23 score=2.000 fqn=org.exist.storage.CopyResourceTest heuristics={A:1.000, R:1.000}
id=11329 rank=23 score=2.000 fqn=net.sourceforge.cruisecontrol.publishers.LinkJabberPublisherTest heuristics={A:1.000, R:1.000}
id=4450 rank=23 score=2.000 fqn=tests.org.ntropa.build.html.StandardFragmentTokenizerTest heuristics={A:1.000, R:1.000}
id=3032 rank=23 score=2.000 fqn=junittests.ScannerTest heuristics={A:1.000, R:1.000}
id=1191 rank=23 score=2.000 fqn=org.smartfrog.test.SmartFrogTestBase heuristics={A:1.000, R:1.000}
id=3881 rank=23 score=2.000 fqn=org.exist.storage.BTreeRecoverTest heuristics={A:1.000, R:1.000}
id=13946 rank=23 score=2.000 fqn=net.sf.jameleon.JameleonTagSupportTest heuristics={A:1.000, R:1.000}
id=13503 rank=23 score=2.000 fqn=org.helianto.web.test.FreeMarkerViewTestSupport heuristics={A:1.000, R:1.000}
id=3857 rank=23 score=2.000 fqn=org.exist.xmldb.XmldbURITest heuristics={A:1.000, R:1.000}
id=8330 rank=23 score=2.000 fqn=net.sf.jguiraffe.gui.platform.swing.builder.window.TestSwingWindowManager heuristics={A:1.000, R:1.000}
id=13794 rank=23 score=2.000 fqn=net.sf.jameleon.plugin.jiffie.IEFunctionTagTest heuristics={A:1.000, R:1.000}
id=14808 rank=23 score=2.000 fqn=org.springframework.richclient.image.HandlerTestsIgnored heuristics={A:1.000, R:1.000}
id=3703 rank=23 score=2.000 fqn=org.exist.storage.test.RecoveryTest2 heuristics={A:1.000, R:1.000}
id=2777 rank=23 score=2.000 fqn=foxtrot.test.FoxtrotTestCase heuristics={A:1.000, R:1.000}
id=12944 rank=23 score=2.000 fqn=net.sourceforge.jwebunit.junit.WebTestCase heuristics={A:1.000, R:1.000}
id=10625 rank=23 score=2.000 fqn=test.jhomenet.commons.auth.LoginTest heuristics={A:1.000, R:1.000}
id=14659 rank=23 score=2.000 fqn=com.zimbra.cs.index.UnitTests heuristics={A:1.000, R:1.000}
id=1838 rank=23 score=2.000 fqn=org.mbari.vars.annotation.model.dao.CrudTest1 heuristics={A:1.000, R:1.000}
id=3680 rank=23 score=2.000 fqn=org.exist.storage.test.RecoverBinaryTest heuristics={A:1.000, R:1.000}
id=10165 rank=23 score=2.000 fqn=net.sf.fairdj.tracks.TestAlbum heuristics={A:1.000, R:1.000}
id=11350 rank=23 score=2.000 fqn=net.sourceforge.cruisecontrol.publishers.WeblogPublisherTest heuristics={A:1.000, R:1.000}
id=12888 rank=23 score=2.000 fqn=it.imolinfo.test.client.TestRuleContainsOccurrenceFail heuristics={A:1.000, R:1.000}
id=19702 rank=23 score=2.000 fqn=org.exist.xquery.XQueryFunctionsTest heuristics={A:1.000, R:1.000}
id=5569 rank=23 score=2.000 fqn=org.joda.time.TestDateTimeUtils heuristics={A:1.000, R:1.000}
